编号	是什么	为什么	出处	何时消除
D186	✅ **已落地**（建筑层配方）原记录：**建筑视图「取错件」**（`building_*_out` 目录装的是建物的多个子件 + 两队配色 + 小道具，而 `UnitView` 对建筑走「整目录逐帧循环」⇒ 在部件帧 / 敌队配色帧之间闪）+ **机制不足**（原版是多子件合成，`UnitView` 只有一个 `SpriteRenderer`）。修法已落：新增 `client/Assets/Scripts/View/BuildingLayerTable.cs`（10 个目录 × 2 队的层配方，生成物）+ `UnitView` 按队叠 N 层（`BuildLayers` / `ApplyLayers`）+ 有配方时关掉单帧渲染器并停止逐帧换图 + 建筑不再静默（无配方留 Warn）	**语义解出（正向对照 PASS）**：`.sc` 的 `0x0C` 的 `cnt2` 条目 = 子件的 **clip id**，`cnt1` 条 `(childIndex,matrixId,ctId)` = 逐帧放置表（childIndex = 子件下标、列表顺序 = 绘制顺序），子件 clip 的 `cnt2` 给出它真正画的 shapeID（= `frame_NNN` 的 NNN）；矩阵 `0x08` = `(a,b,c,d,tx,ty)` ⇒ `sx=a/1024`、`sy=d/1024`、`dxPx=tx/20`、`dyPx=ty/20`。**对照 = `ArenaView.cs:864-870` 的塔层配方**：clip 307/308 第 1 帧逐层复现 rec 211/15/16/212/30 与 213/99/30/100/101、matrix 89/91/184/185、dy −25/−33/−57/−42px、ct=6 —— **逐条一致**。层数：barbarian_hut 1、cannon 2、bomb_tower 2、elixir 4、goblin_hut 4(缺 1)、inferno 2、mortar 1、tesla 23/34、tombstone 18、xbow 2	`.ai-tmp/test/ux4-{parse,recipe,gen-table,sids}.{py,txt}`；生成物 = `client/Assets/Scripts/View/BuildingLayerTable.cs`（重跑生成器 Compare-Object = IDENTICAL 172 行）；落地 = `client/Assets/Scripts/View/UnitView.cs`（`Bind`/`Apply`/`Update`/`WarnIfUnmapped` 4 处）；编译 = `tools/probes/compile-check.ps1` → `sources=153 errors=0 warnings=3 exit=0 PASS`	**关联缺口（逐条）**：① `building_goblin_hut_out` 每队各缺 1 层（子件 child 5 → shape 5 越界，素材无该帧 ⇒ 逐层跳过 + WarnOnce）；② `building_xbow_out` 的 `.sc` 无 `idle` 导出 ⇒ 取 `attack`；③ `ctId`（颜色变换）语义只解到「id / 65535」，本项目不消费（队伍配色由导出名分层解决）；④ **表现类未实机** —— 层序/偏移的实机复核见报告 §4 清单
D187	**建筑的「静默降级」已消除**：原 `WarnIfUnmapped(isBuilding:true,…)` 与 `AssertFrameMapping` 对建筑早退 ⇒ 建筑目录走「整目录逐帧循环」时**一条日志都没有**（与 `UnitView` 类注释承诺的"已登记差异、非静默降级"不符）	现无配方的建筑目录会留一条 Warn（"仍按整目录逐帧循环，会把部件帧/敌队配色帧也播出来"）；有配方则无告警。`AssertFrameMapping` 仍对建筑早退 —— 它断言的是**部队**的「帧号→下标」映射，建筑没有逐档表；建筑的接入情况由上面这条 Warn 覆盖	`client/Assets/Scripts/View/UnitView.cs` 的 `WarnIfUnmapped`（建筑分支）；类注释的历史承诺见同文件顶部	已消除（无配方时必留痕）
D188	主菜单底部导航 4 个未选中页签图标（商店/卡牌/部落/赛事）用彩色已落地图元顶替	**【第七轮已找到正解：2.1.5 的底栏页签集合与 12 号图不同 ⇒ 应按导出名落地 `icon_menu_shop`→帧 503 / `icon_menu_cards`→446 / `icon_menu_battle`→226 / `icon_menu_tornament`→280 / `icon_menu_royaltv`→546】**（第 4 列见本报告 §7.1；两条独立通道互证：导出名通道 + 通道 B 逐通道 NCC 的 shop 第 1 名即 503 / cards 第 1 名即 446）。12 号图那 4 个深色图标（clan 蓝盾+气泡 / events 月桂+剑）**仍对不上**，因为 12 号是异版（其底栏是 shop/cards/battle/clan/events）——原记录的下列通道 B 证据仍成立	通道 A：`.ai-tmp/test/fx-menu2-report.md` §7.3；通道 B：`.ai-tmp/test/ux-find-b.py`（灰度 NCC）、`ux-find-c.py`（逐通道 NCC，逐页读数见 `ux-find-c-nav-*.tsv`）、`ux-find-local.py`（226 定点 0.2492）、`ux-find-blur2.py`（226 全带最高 0.6294@blur3 且落错格）、`ux-find-browse.py`+`browse-icon-{dark,green,blue,brown,other}.png`（整册目视无此形状）、正控 `ux-find-ctrl.py`（0.8673/0.7404/0.9872）；**第七轮正解出处 = `原版资源/sc/ui_v215.sc` 的 `icon_menu_*` 导出名 + `.ai-tmp/test/ux-find-r7.py`**；根因出处 `策划/参考图/清单.md:25`（参考图来自 Fandom 维基整屏，非 2.1.5 APK）	**已找到一手出处并落地（原判 BLOCKED 属按名穷举漏前缀，已推翻）**：`ui_v215.sc` 里就是 `icon_menu_*` 一族 —— `icon_menu_shop`→**503**、`icon_menu_cards`→**446**、`icon_menu_battle`→**226**、`icon_menu_tornament`→**280**、`icon_menu_royaltv`→**546**（两条独立通道互证：`ux-find` 第六轮逐通道 NCC 的第 1 名即 503 / 446）。`MainMenuPanel.NavIconPaths()` 已换成这 5 帧（删掉金宝箱/金卡框/蓝盾/金橄榄枝 4 个**彩色替代件**）、`NavLabels` 改 `商店/卡牌/对战/锦标赛/皇室TV`；`copy-ui-assets.py` 与 `ResPaths.cs` **只追加**（503/446/546 新写，280/226 复用既落地帧）；编译 `sources=153 errors=0 warnings=3 PASS`。**根因副产品**：2.1.5 底栏页签集合 = shop/cards/battle/tornament/royaltv，而 12 号图是 shop/cards/battle/**clan**/**events** ⇒ **「12 号 ≠ 2.1.5」的第四条独立证据**。⚠️ 残余：标签文字**无 2.1.5 一手出处**（保留工程中文化口径，已注释写明）；★ **实机已复核**（`ux-scale`，2026-09-26 02:52:48）：`MainMenuPanel count=1 active=True`；5 格 = `frame_503_0 / frame_446_0 / frame_226_0 / frame_280_0 / frame_546_0`、全 `onScreen=True`（角点 25/7..1054/177），**无 526/43 系/225/195**；图 `.ai-tmp/screenshots/ux6/ux6-nav.png` md5 `f3972e04bb2bdfec56f5de41fb067c2e`、放大带 `ux6-navcrop.png`（商店/卡牌/对战〔选中 +「对战」标签〕/锦标赛/皇室TV）。
D189	主菜单分区标题 / 底部宽缎带（蓝色「缺口缎带」）用 `ui_out 166`（蓝按钮件）顶替	同 D190 的根因。通道 B 宽帧池（w≥200、宽高比 3..16，28 帧）逐通道 NCC 最高 `.ai-tmp/test/ux-find-c-ribbon.tsv`：`ui_out/864` 0.5346、`ui_out/70` 0.4719，其余 ≤0.14，无一张是「两端开叉横缎带」；参考图量得两处缎带**尺寸完全相同** 495×53（750 空间）⇒ 原版是固定宽度单张图元，不是拉伸	`.ai-tmp/test/ux-find-measure.py`（495×53 两处）、`ux-find-c.py` + `ux-find-c-ribbon.tsv`；根因同 D190 `策划/参考图/清单.md:25`	同 D190
D190	参考图 `12_主菜单_750x1334.png` 与图集**版本不一致**（根因级：像素级找帧的**前提**不成立）	该图 = Fandom 维基 `File:Profile_Screenshot.png`（`策划/参考图/清单.md:25`；清单 §4 已写明 12~17 全部来自 Fandom 整屏截图），而本项目图集来自 **CR 2.1.5 APK** ⇒ 两者**不是同一套美术**。三条证据：① 连「由 `.sc` 引用链确定」的该图元（`ui_out 226`）对参考图同一图元也只有 **0.25（定点）~0.63（加模糊全带滑动）**；② **正控通过**（把已知帧染色 ×[0.62,0.55,0.72] + 模糊 1.5 种进合成区域，匹配器读回 **0.8673 / 0.7404 / 0.9872** ⇒ 通道没坏）；③ 同风格整图也对不上（竞技场卡 vs 13 张 `ui_arena_out` 预览帧 最高 **0.616** 且为石像误命中）	`策划/参考图/清单.md:25`（来源 URL）；`ux-find-report.md` §1~§4；正控 `.ai-tmp/test/ux-find-ctrl.py`；竞技场侧 `.ai-tmp/test/ux-find-arena.py`	换用**与图集同版（CR 2.1.5）**的整屏截图作参考图后重跑；在此之前对 12 号这类图**只能作布局参考、不能做像素级找帧**（逐图定级由 `ux-find` 第六轮给）
D191	✅ **已修**（实机复核抓到）：建筑层配方的 `Frame` 是**帧号**，而 `BuildLayers` 原先直接用它索引 `_frames` 数组 —— 本工程导入是 **Multiple + 自动切片**（一张 PNG → 多个子 Sprite）⇒ 下标 ≠ 帧号，取错帧（实测 `elixir_collector` 蓝队的 L1 取到 `frame_000` 的第 2 个子 Sprite、L3 取到敌队件 `frame_003`）	同 `UnitView.ClipIndices` / `ResolveFrame` 注释里的老规矩：**帧号必须过 `SpriteBank.FrameNumberMap` 换成下标**（⛔ 不许假设恒等）。改法 = `var map = SpriteBank.FrameNumberMap(_spritePath, _pivotMode); var idx = ResolveFrame(map, spec.Frame);`，越界/缺项 ⇒ `LogThrottle.WarnOnce` 留痕并跳过该层	`client/Assets/Scripts/View/UnitView.cs` 的 `BuildLayers`；修前/修后读数 = `.ai-tmp/test/ux5b-live.txt`（step 0/1 vs step 1）；实机图 = `.ai-tmp/screenshots/ux5/ux5-gallery2.png`（md5 00f969c3415317be2a13821a36c436af）+ 放大 `.ai-tmp/test/ux5-crop.png`	已消除（修后 20 格逐项与配方一致） ⚠️ 残余：实机读数里 `tesla` 蓝 **23 层** / 红 **34 层**、`tombstone` 蓝红各 **18 层** 属「`.sc` 两队导出都列全部帧」的**兜底路径** ⇒ 待判「子件（该叠画）还是**动画帧序**（该逐帧播）」；`ux-scale` 第六轮在跑。
D192	把参考图当「像素基线」用之前，缺一道**逐图来源定级**（本轮已给出 24 张的三档定级表）	原版参考图来自 4 类不同来源（App Store 官方槽位 / Fandom 维基 / 搜索引擎聚合 / gameuidatabase 整屏库），**版本与画幅各不相同**：其中 12/13/14/15/16/17 是 Fandom 维基（17 的文件名直接写着 2019，与复刻目标 2.1.5 不同版），01 是**营销合成图**（自注「非实机启动页」），20 已被 D113 判与 2.1.5 不一致，22 画幅比例 0.45、21 是 0.448（非本画布 0.5625），24 只有 499 宽（0.46 倍）⇒ 色值/描边/字号级读数不可用；只有 07 通过了像素级互证（E65/E70：166 内侧行与 266/267 逐像素 Δ=5/Δ=10）⇒ 只有它能当像素真源	本片定级表与依据：`.ai-tmp/test/ux-find-report.md` §6.1/§6.2（逐图一行，含出处 `策划/参考图/清单.md` 的行号）；像素互证证据 `策划/参考图/几何量取.md` §1.6.8 E65–E70（07）；反面证据 `D113`（20）、`.ai-tmp/test/ux-find-report.md` §1.4（12 号：由 `.sc` 确定的 `ui_out 226` 对同一图元仅 0.2492/0.5630/0.6294，正控 0.87~0.99）；同文件 §6.3 = 已落地读数的影响清单（D9/D10/D11/D12/D13/D106 出自 12，D105/D107 出自 24）	每一张图在下一次被引用前先过一遍定级；拿到 1080 宽、且能过「由 `.sc` 引用的图元逐像素比 ≥0.8」的替代图后升格
D196	底栏**几何**（导航带高 172.8、4 条页签边界 180.7/362.2/716.4/897.8）仍**只出自 12 号图**	该 4+1 个数值在 `ui_v215.sc` 的放置表里**读不出**：① 导航带高被 `menu_bottom_tab_bg`(clip 4441) 的 `bg_height`(oid 2819)/`gap_height`(oid 2820) 两个 **tag 0x1a（textfield）** 对象参数化（矩阵里给的是被拉伸的填充条，帧 270 拉到 sy=-4.03）；② 5 个页签的 x 由**运行期布局代码**排布，`.sc` 里没有容纳 5 个页签的容器 clip（`menu_bottom_*` 全是单件模板）；③ `Menu_topLayer`(4539) 只有 `left_top`/`right_top`/`profile_strip` 三件，**没有**顶带 78/38 两条分带的对应元件；④ 资料页无"面板本体 + 内容框"成对元件（面板底 `profile_bg`=clip 3464 也是被拉伸的渐变）⇒ `.sc` 与 12 号**不冲突而是缺失**，不能用 `.sc` 替换	`.ai-tmp/test/ux-find-report.md` §7.2（读得出的局部坐标：left_top/right_top = ∓384、profile_button y=97.4、menu_bottom_divider sy=1.3604）与 §7.3（逐项读不出的原因）；0x1a 格式三份本地源均只跳过（`tools/probes/sc-layout.py` 不含 1a；`sc-anim-index.py` 与 `AI-tmp/test/scdfull/sc_decode.py` 原文 `elif DataBlockTag == "1a": continue`）⇒ 下一步须从 `sc-workshop/SupercellSWF-Animate` 或官方 SWF 规范取 0x1a 结构；⛔ 本片不猜格式	拿到能过「由 `.sc` 引用的图元逐像素比 ≥0.8」的 1080 宽同版主菜单截图（或解出 0x1a textfield 里的常量）后
D193	✅ **已修 + 判定留档**（第 6 轮）：`building_tombstone_out` 18 层里的 16 层是**过场帧**、叠画在整件帧之上 ⇒ 实机里墓碑门窗被一排木板盖住（叠影 + 白画 36→4 个渲染器）；而 `building_tesla_out` 的 23/34 层是**互补子件**、**不是**帧序列 ⇒ 保持原样，⛔ 不要按叠影删层	层配方把「同一导出 clip 内、被整件帧盖住的过场帧」也当层叠画；判定判据 = 该导出 `cover_max ≥ 0.90` 且 ≥60% 层 `cover ≤ 0.15`（tombstone 命中：1.00/0.67；tesla 不命中：0.54，`IoU_med` 0.19 = 互补）	`原版资源/sc/building_tombstone_v215.sc` / `building_tesla_v215.sc`（clip 20/19 与 56/52 的 frames·placements·childIndex 分布，见 `ux6-frames.out.txt` / `ux6-dump-tesla.txt`）+ 素材 `frame_017.png`（131×171 单帧即整个墓碑）与 `frame_005.png`（126×185 同画布）+ 实机 `ux6-zoom2.png` 放大四方（木箱本体 / 干净墓碑）	`BuildingLayerTable.cs` 里 tombstone 蓝=2 层/红=3 层、tesla 仍 23/34 层，且实机放大图中墓碑不再有木板叠影
D194	✅ **已修**（第 6 轮）：`ClipIndices` 兜底分支对 8 个**已配层配方**的建筑目录仍打 `该档位不可用…⇒ 整目录循环播（已登记差异）`，配了层之后这句话**与事实相反**（单帧渲染器已关、层序由 `BuildingLayerTable` 叠出）	同一句话对「无配方的未收录目录」是对的，对「有配方的建筑」是错的；判据 = `isBuilding && HasBuildingRecipe()`	实机日志 `client/Logs/2026-09-26.log`：修前 02:32 时段该句命中 16 行（去重 8 个目录）、修后 02:52–02:53 时段命中 **0**（`单元 3` 的原始计数）	修后日志里该句 0 命中且 20 格建筑仍按层渲染（`ux6-live.txt`）
D197	`menu_bottom_tab_bg`(clip 4441) 的 `bg_height`(oid 2819) / `gap_height`(oid 2820) 的对象类型是 **`0x19` TextField**，不是 `0x1a`；`0x1a` 是**零长空标记**（106 个 `.sc` 各恰 1 条、payload 恒 0 字节、恒在 tag 序列第 0 或 1 位）	D196 第 1 列把这两个对象的 tag 写成 `0x1a`。全量实测：`0x1a` 在 106/106 个 `.sc` 里都是「1 条 + 长度恒 0 字节」（2.1.5 与 1.0.0 两批一致），不带任何 payload ⇒ 不可能承载带参对象；而 2819/2820 在 `ui_v215.sc` 里既不在 shape 表也不在 clip 表，只出现在 `0x19` 文本域记录里（字体 Supercell-Magic）	`tools/probes/sc-tag-scan.py --verify` 第 5/6 组断言（PASS：1a 在 106 个 .sc 里各恰 1 条且长度集合 = [0]；menu_bottom_tab_bg → clip 4441；clip 4441 子件名 = [tutorial_grad, —, —, bg_height, gap_height]；oid 2819/2820 命中 0x19 记录）；同脚本 `--textfields`（id=2819/2820 字体 = Supercell-Magic）；`原版资源/sc/ui_v215.sc` 的 export 表与 clip 4441	不需消除（更正性登记）：D196 第 1 列的「tag 0x1a（textfield）」按本行读作「tag 0x19（textfield）」
D198	三个未解 tag 全部解出（权威 tag 表 = `scwmake/SupercellFlash` 的 `flash_tags.h`）：`0x09`=TAG_COLOR_TRANSFORM（**定长 7 字节**，字段序 `add.r,add.g,add.b,alpha,mul.r,mul.g,mul.b`）；`0x07`/`0x0f`/`0x19`=TAG_TEXT_FIELD / _2 / _5（**同一记录的不同版本**，文件头 `TextFieldCount` 数的就是这三者之和，字段序见 `flash/display_object/TextField.cpp`）；`0x1a`=TAG_USE_EXTERNAL_TEXTURE、`0x17`=TAG_USE_LOW_RES_TEXTURE、`0x1e`=TAG_USE_MULTI_RES_TEXTURE（三个**零长开关**，机制 = `SWFStream.hpp` 的 `write_tag_flag()` = `u8 tag + i32 0`）；`0c` 三元组第 3 元素 `ctId` = 该文件内 `0x09` 记录序号（65535=无）；另更正：`0c` 里 `instance_count × u8` 那段**实为 `blend_mode`**（`MovieClip.cpp`），历史上被记作 opacity	此前只解到「颜色变换有/无（65535 = 无）」，判「敌我配色 / 受击态 / 稀有度配色」与「原版字号」都没有入口；本片把色变换读成 7 个可加/可乘分量后，`.sc` 里的配色可直接按数值比对	`tools/probes/sc-tag-scan.py --verify`（8 组断言：`09` 长度集合=[7]；`ΣTextFieldCount == Σ(07+0f+19)` 89 文件 0 例外；有效 ctId 引用越界 0；2282 条文本域 `consumed==payload` 0 例外；`1a` 每文件恰 1 条零长）+ 同脚本 `--colors`（`04327cff808080` / `730000ff8c8c8c` 分别对应 `building_goblinHut_player` / `_enemy` 且引用次数完全相等 5245；`33beffd2000000`=(add 51,190,255) / `ff33008f000000`=(add 255,51,0) 对应 `spell_*_radius_blue` / `_red`）+ 权威源 = `scwmake/SupercellFlash`（浅克隆在工作区 `.ai-tmp/SupercellFlash`；`flash_tags.h` / `transform/ColorTransform.cpp` / `display_object/TextField.cpp` / `display_object/MovieClip.cpp` / `objects/SupercellSWF.cpp`）	`0x09` 已可读；`0x07/0x0f/0x19` 尾部 20/21/25 字节的字段语义、以及 `0x17`/`0x1e`/`0x1a` 的语义仍缺参考实现（需 `sc-workshop/SupercellSWF-Animate` 或官方 SWF 规范 tag 表；本轮 raw.githubusercontent.com 拉取 60s 超时）
D199	**竖向定标（跨图同锚，穷举 6 条锚）**：对局整屏图的竖向 px/格**有单值、且是每图一个常数**。用「塔血条左端的金色等级牌」定位血条行（`策划/对照表.md:1021` U5 已确证该图元），量「同侧两座公主塔异行血条 y 心距 ÷ 19 格」：图 `04` = **80.66 px/格**（横向 86.77，比 **0.930**）、图 `05` = **83.76**（横向 88.32，比 **0.948**）、图 `06` = **82.13**（横向 87.80，比 **0.936**）；三图互证同一条判据（牌心对 x 中点 559.75/559.75/558.75 恒定）。**竖/横 = 0.94 ± 0.01，恒小于 1，且与 y 无关**（三条同图独立检查：上行/下行牌 x 间距相等 ≤0.26%、牌尺寸相等 60×48/60×47、`04` 地板沿 x 周期在 y620..1300 恒为 172 px ⇒ 正交投影、深度无缩放）。**10 张对局图只有 `04`/`05`/`06` 含此锚**；`03`（极限放大无塔）、`08`/`09`/`10`（无成对金等级牌）量不出	用于纠正「竖向按 0.81–0.93 或按横向换算」的既有做法：**竖向必须逐图用自己的塔锚定标（竖向 = 横向 × 0.94）**；⛔ 跨图 px/格不可互换（三图横向 86.77/88.32/87.80 各不同）。⛔ 另 5 条锚全部量不出，逐条理由：河面 2 格（熔岩辉光渐变无硬边）/ 王塔行 3 格（`04` 两侧王塔被屏裁，中央只有单位血条）/ 桥板 2×2 格（桥区全为前景，分不出木面）/ 地板图案（x 周期 172 = 2 格但 y 周期 139 = 1.72 格，非整格 ⇒ 不可当尺）/ `.sc` twips 绝对屏坐标（`HUD_player` 局部 y 与 18 图实测给出 0.751 与 1.381 px/unit 两个矛盾换算 ⇒ 局部系非屏系，同 F1/BLOCKED）	量法 = `.ai-tmp/test/vcal-badge.py`（主）+ `vcal-anchor2.py`（剖面 `prof` / 自相关 `ac`）+ `vcal-rows.py`（全图候选行）；读数 = `.ai-tmp/test/vcal-badge.txt`、`vcal-gp04-{top,bot}.txt`、`vcal-prof-05-{top,bot}.txt`、`vcal-ascii-{03,05,06,08,09,10}.txt`；塔位出处 = `原版资源/cr-sim/cr_sim/engine/arena.py` 模块注释 + `server/game/core/core_test.go:44-45`；金等级牌出处 = `策划/对照表.md:1021`（U5）	拿到一张**含王塔血条且场地未被裁**的对局整屏（可把「3 格」这条独立锚也量出来），或拿到 `04`/`05`/`06` 的相机参数（可把 0.930–0.948 的漂移钉死）
D200	外部权威 tag 表已打通（`github.com/scwmake/SupercellFlash`，commit `41e894d5a20cc17e47fe32db3106c4c1bec60a3e`）：本工程 106 个 `.sc` 实到 **15 个 tag，100% 有名有义，0 个真·未解析记录** —— 顶层 13 个（`00`/`01`/`07`/`08`/`09`/`0c`/`0f`/`12`/`17`/`18`/`19`/`1a`/`1e`）+ `0c` 内嵌 `0b`(TAG_MOVIE_CLIP_FRAME_2) + `12` 内嵌 `16`(TAG_SHAPE_DRAW_BITMAP_COMMAND_3，37093 条全部解干净、越界 0)。三个零长标记的真义：`0x17`=TAG_USE_LOW_RES_TEXTURE、`0x1e`=TAG_USE_MULTI_RES_TEXTURE、`0x1a`=TAG_USE_EXTERNAL_TEXTURE（写侧 `SWFStream.hpp::write_tag_flag()` = `u8 tag + i32 0`；读侧 `SupercellSWF.cpp` 只各置一个 bool）。两处更正：① `0x09` 的字段序 = `add.r,add.g,add.b,alpha,mul.r,mul.g,mul.b`（`ColorTransform.cpp::load()`；上一版按 modern_sc2 的数据类字段序贴错标签）；② `0x0c` 里 `instance_count × u8` 那段是 **`blend_mode`**（`MovieClip.cpp`），不是 opacity ⇒ `sc_decode.py` / `sc-layout.py` 的「opacity」口径要改。`0x19` TextField 字段级解出（2282 条逐条 `consumed == payload`，0 例外）：`(179,111)`/`(18,38)` 是 `bg_height`/`gap_height` 的 `right`/`bottom` 文本域，**不是屏坐标**。**新缺口**：`blend_mode` 非 Normal 的实例在**我们实际渲染的 67 个目录里有 245 条导出**（Add 239 / Multiply 4 / Screen 2），而我们恒以 Unity 默认 `SpriteRenderer`（Normal）渲染、工程内 0 个 shader/mat ⇒ 原版有、我们无 ✅ **补充（并条 · 权威口径）**：应用式 = `out_rgb = clamp(src*mul/255 + add)`、`out_alpha = clamp(src_alpha*alpha/255)`；**`255` = 1.0**（旧「128 = 1.0」口径作废）；字节序 = `add.rgb → alpha → mul.rgb`（旧「mul 在前」口径作废）。判据资产 = `python tools/probes/sc-color-transform.py --selftest`（15 PASS / exit 0）；3 条正控 = `darken`(ctId 89) `0000005affffff`（α=90）、`d1..d9`(ctId 37) `0000004dffffff`（α=77）、全量 24265 条的 7 个字节位众数恰全是各自恒等值。⛔ 本口径并入本条，不另立行。	此前三个零长 tag 与 TextField 尾部字段只能标 BLOCKED（语义缺外部出处），`0x09` 的字段位置只能按第三方数据类猜 ⇒ 配色 / 字号 / 混合三类读数都缺一手依据；`blend_mode` 被误记成 opacity 还会让「原版有没有加法混合」这类问题问不出来	权威源 = `scwmake/SupercellFlash`（浅克隆在工作区 `.ai-tmp/SupercellFlash`，commit `41e894d5a20cc17e47fe32db3106c4c1bec60a3e`）的 `supercell-flash/source/flash/`：`flash_tags.h`、`types/SWFStream.hpp`、`objects/SupercellSWF.cpp`、`transform/ColorTransform.cpp`、`display_object/TextField.cpp`、`display_object/MovieClip.cpp`、`display_object/MovieClip.h`（BlendMode 枚举：0 Normal / 2 Layer / 3 Multiply / 4 Screen / 8 Add / 9 Subtract / 11 Alpha / 13 Overlay …）；复跑 = `python tools/probes/sc-tag-scan.py --verify`（8 组 19 PASS）与 `--textfields` / `--colors`；覆盖性与 blend 读数 = `.ai-tmp/test/tag-sweep/blend-scan.py`、`blend-used.py`（原始输出 `out-blend.txt` / `out-blend-used.txt`）；渲染侧事实 = `client/Assets/Scripts/View/UnitView.cs`、`EffectsView.cs`、`ArenaView.cs`（只有 `AddComponent<SpriteRenderer>()` + `sr.color` + `flipX/flipY`，无 material/shader）	解析口径已收口，本条无需消除。**只剩两件开着的**：① B6 = `0x19` 的 `left/top/right/bottom` 属哪个坐标系（与已知几何 172.8 / 97.4 / 1.3604 对不上，缺运行时布局代码或实机读数）；② 新增的 blend 缺口需在渲染侧补混合能力（Add / Multiply / Screen）后消除 —— 本条只登记事实，未改任何渲染 / 引擎代码
D203	对局 HUD 圣水刻度分隔线的不透明度 = **77/255**（不再是手写的 0.30）；刻度线兜底色 = 原版刻度件自色 **(35,35,35)**（不再是 0.14）	原版该件（`elixir_bar`(clip 1080) → `d1`..`d9`(clip 909)）的放置颜色索引 = 37，其 `09` 记录 = `000000 + 4d + ffffff`（`add=0`、`alpha=0x4d=77`、`mul=255`） ⇒ 属「纯 α 覆盖」，uGUI 顶点色可表达	出处 `原版资源/sc/ui_v215.sc`；图元 `client/Assets/Resources/Sprites/Ui/Bars/ui_out/frame_160.png`（1×1、(35,35,35,255)）	已消除（`client/Assets/Scripts/UI/Panels/HudPanel.cs` 的 `ElixirTickTint` α `0.30 → 77f/255f`、`ElixirTickFallback → (35,35,35,77/255)`；`tools/probes/compile-check.ps1` errors=0）
D204	手牌空槽 `EmptySlotTint` 按 `.sc` 反证 **改为无 tint**（原为我方自定的 `(0.55,0.55,0.62)` 乘算）	原版 `HUD_player`(clip 1091) → `slots`(oid 1070) → 槽底件 `frame_200`（= shape **索引 200 = sid `671`**）的**全部 4 处**放置项 `ctId = 65535`（**无颜色变换**）⇒ 我方那个乘算 tint 在 `.sc` 里没有出处；team-lead 据此裁决撤掉；空位与真卡走同一图元原色，⛔ 不是我方自定的「压暗表达空位」	出处 `原版资源/sc/ui_v215.sc`（`frame_200` 的 4 处放置项 ctId 全 `65535`；⚠️ `frame_NNN` 的 NNN 是**索引**不是 sid）；我方改动 = `client/Assets/Scripts/UI/Panels/HudPanel.cs`（现全仓 grep `EmptySlotTint` 与 `(0.55,0.55,0.62)` = **0 命中**）；登记依据见 `ct-apply` 报告 §6 / §7（依据 = `.sc` 反证，⛔ 不是参考图目测）	已消除（`client/Assets/Scripts/UI/Panels/HudPanel.cs`：**删 `EmptySlotTint` 常量**，空位与真卡都 `card.color = Color.white`（`HudPanel.cs:1918/1926`）；`tools/probes/compile-check.ps1` errors=0）⚠️ **实机与 18 图对照未复核**（留待后续会话）
